Isin;Name;LegalName;ProviderCompanyName;CategoryName;Currency;SRRI;TER;ManagementFee;InitialPurchase;Rent2026YTD;Rent2025;Rent2024;Rent2023;Rent2022;Volatilidad1A;Vol3A_est;MaxDD3A_est
LU0911039310;DWS INVEST TOP DIVIDEND L;DWS INVEST TOP DIVIDEND LDQH DIS EUR HEDGED;DWS INVESTMENTS;RENTA VARIABLE INTERNACIONAL;EUR;4;1.63;1.5;100;9.66;16.32;1.82;0.19;-6.34;9.3771;5.94;-3.57
LU0648597572;BLENDED RESEARCH EUROPEAN;BLENDED RESEARCH EUROPEAN EQUITY A1 ACC USD;MFS INVESTMENT MANAG;RENTA VARIABLE EURO;USD;4;1.46;0.5;100;11.11;24.67;8.81;13.06;-9.04;13.7752;6.86;-2.08
LU1340705364;BLENDED RESEARCH EUROPEAN;BLENDED RESEARCH EUROPEAN EQUITY AH1 ACC USD HEDGED;MFS INVESTMENT MANAG;RENTA VARIABLE EURO;USD;4;1.5;0.5;100;15.21;12.29;17.91;11.88;-0.59;10.6654;7.47;-1.95
LU1985811782;MFS MERIDIAN CONTRARIAN V;MFS MERIDIAN CONTRARIAN VALUE A1 USD;MFS INVESTMENT MANAG;RENTA VARIABLE INTERNACIONAL;USD;4;1.85;1;100;19.3;18.4;9.82;20.07;0.77;14.5468;7.16;-1.19
LU2459474701;MFS MERIDIAN FUNDS CONTRA;MFS MERIDIAN FUNDS CONTRARIAN A1 ACC EUR;MFS INVESTMENT MANAG;RENTA VARIABLE INTERNACIONAL;EUR;4;1.85;1;100;19.35;17.99;10.13;20.5;;12.2647;7.28;-1.44
LU1985811865;MFS MERIDIAN FUNDS CONTRA;MFS MERIDIAN FUNDS CONTRARIAN VALUE AH1 ACC EUR HEDGED;MFS INVESTMENT MANAG;RENTA VARIABLE INTERNACIONAL;EUR;4;1.85;1;100;14.98;30.53;1.32;21.37;-8.77;14.4708;12.82;-8.73
LU0035378891;MFS MERIDIAN GLOBAL HIGH;MFS MERIDIAN GLOBAL HIGH YIELD A2 DIS USD;MFS INVESTMENT MANAG;RENTA FIJA INTERNACIONAL;USD;2;1.4;0.75;100;0.17;-9.83;8.92;3;-9.21;3.0044;6.25;-10.24
LU0583242994;MFS PRUDENT WEALTH A1 ACC;MFS MERIDIAN PRUDENT WEALTH A1 ACC EUR;MFS INVESTMENT MANAG;RENTA VARIABLE MIXTA INTERNACIONAL;EUR;3;2.03;1.15;100;4.06;1.05;8.37;10.35;-11.22;10.0775;3.9;-4.64
LU0808562614;MFS MERIDIAN PRUDENT WEAL;MFS MERIDIAN PRUDENT WEALTH AH1 ACC EUR HEDGED;MFS INVESTMENT MANAG;RENTA VARIABLE MIXTA INTERNACIONAL;EUR;3;2.05;1.15;100;0.18;11.79;-0.2;11.61;-19.05;10.0269;8.43;-7.34
LU0337786437;MFS PRUDENT WEALTH AI ACC;MFS MERIDIAN PRUDENT WEALTH AI ACC USD;MFS INVESTMENT MANAG;RENTA VARIABLE MIXTA INTERNACIONAL;USD;3;2.02;1.15;100;4.04;1.38;8.07;9.98;-11.42;10.0884;3.7;-4.07
IE00BNJZW555;NEUBERGER BERMAN SHORT DU;NEUBERGER SHORT DURATION EM MKT DEBT U ACC EUR HEDGED;NEUBERGER BERMAN;RENTA FIJA INTERNACIONAL;EUR;2;0.83;0.75;500000;0.7;6.73;6.9;5.48;-9.18;2.3549;2.55;-1.05
IE00BDZRXR46;NEUBERGER BERMAN SHORT DU;NEUBERGER SHORT DURATION EMERGING MARKET DE A ACC USD;NEUBERGER BERMAN;RENTA FIJA INTERNACIONAL;USD;2;1.07;1;1000;4.06;-3.93;15.29;3.79;-1.81;2.4023;6.88;-7.65
LU1922483299;NN (L) GREEN BOND SHORT D;GOLDMAN SACHS GREEN BOND SHORT DURATION P ACC EUR;GOLDMAN SACHS (EX NN INV);RENTA FIJA EURO;EUR;2;0.6;0.65;100;-0.28;3.48;4.94;6.13;-8.99;1.671;1.9;-0.56
LU0546920488;NN (L) US CREDIT P ACC US;GOLDMAN SACHS US CREDIT P ACC USD;GOLDMAN SACHS (EX NN INV);RENTA FIJA INTERNACIONAL;USD;3;0.95;0.75;100;0.42;-4.82;8.07;4.65;-12.1;3.9047;5.26;-7.63
LU1820809777;CAPITAL GROUP CAPITAL INC;CAPITAL GROUP CAPITAL INCOME BUILDER BD DIS EUR;CAPITAL INTERNATIONAL MAN;RENTA VARIABLE MIXTA INTERNACIONAL;EUR;3;1.65;;100;9.43;3.03;13.69;1.91;-4.15;6.0793;5.27;-2.77
LU0193727749;CAPITAL GROUP GLOBAL HIGH;CAPITAL GROUP GLOBAL HIGH INCO BD DIS EUR;CAPITAL INTERNATIONAL MAN;RENTA FIJA INTERNACIONAL;EUR;3;1.4;1.3;100;-0.66;-7.86;4.6;1.85;-11.5;4.541;5.13;-9.59
LU0637316331;NORDEA 1 EUROP HIGH YIELD;NORDEA 1 EUROP HIGH YIELD BOND FUND HB USD ACC;NORDEA INVESTMENT FUNDS;RENTA FIJA EURO;USD;2;1.33;1;100;3.49;-4.87;16.59;8.89;-3.68;2.8897;7.67;-8.12
LU0087209911;NORDEA 1 NORWEGIAN BOND F;NORDEA 1 NORWEGIAN BOND FUND BP NOK ACC;NORDEA INVESTMENT FUNDS;RENTA FIJA INTERNACIONAL;NOK;2;0.85;0.6;100;8.57;3.82;-3.69;-3.53;-9.43;3.0353;6.04;-4.82
LU1029333462;NORDEA GLOBAL SMALL CAP B;NORDEA GLOBAL SMALL CAP BP ACC EUR;NORDEA INVESTMENT FUNDS;RENTA VARIABLE INTERNACIONAL;EUR;4;1.5;1.5;100;9.13;-0.75;10.15;12.88;-17.73;12.3389;12.25;-7.94
LU1029332142;NORDEA GLOBAL SMALL CAP B;NORDEA GLOBAL SMALL CAP BP ACC USD;NORDEA INVESTMENT FUNDS;RENTA VARIABLE INTERNACIONAL;USD;4;1.81;1.5;100;9;-1.23;10.78;12.82;-17.78;14.6294;12.36;-7.91
LU2367664385;LUMYNA-MW TOPS (MARKET NE;LUMYNA-MW TOPS (MARKET NEUTRAL D ACC EUR;GENERALI INVESTMENTS LUXE;RENTA VARIABLE MIXTA INTERNACIONAL;EUR;3;2.77;2;20000;-0.9;10.02;5.16;1.8;8.54;4.7302;4.69;-1.92
FR0010149203;CARMIGNAC PROFIL REACTIF;CARMIGNAC MULTI EXPERTISE A ACC EUR;CARMIGNAC GESTION FRANCE;GLOBAL;EUR;3;1.85;1.5;100;3.7;4.74;9.89;5.11;-11.89;5.4776;5.84;-2.72
LU0336083810;CARMIGNAC PORTFOLIO EMERG;CARMIGNAC PORTFOLIO ASIA DISCOVERY A EUR ACC;CARMIGNAC GESTION FRANCE;RENTA VARIABLE INTERNACIONAL;EUR;4;2.33;;100;46.95;4.74;29.57;12.65;-22.38;24.609;24.66;-11.49
LU1299305190;CARMIGNAC PORTFOLIO PATRI;CARMIGNAC PORTFOLIO PATRIMOINE A ACC EUR;CARMIGNAC GESTION FRANCE;RENTA VARIABLE MIXTA INTERNACIONAL;EUR;3;1.8;1.5;150;6.39;11.8;6.87;2.02;-9.27;5.9989;4.53;-1.7
FR0011269109;Carmignac Securite;CARMIGNAC SECURITE AW USD ACC HDG;CARMIGNAC GESTION FRANCE;RENTA FIJA EURO;USD;2;0.8;;1800;2.63;-7.52;13.58;2.36;3.01;1.3184;7.47;-8.96
LU0267387255;FF GLOBAL OPPORTUNITIES F;FIDELITY FIRST ALL COUNTRY WORLD A ACC EUR;FIDELITY INVEST.INT.,SUC.;GLOBAL;EUR;4;1.91;1.5;2500;12.07;9.18;22.82;15.1;-12.23;11.4573;11.41;-4.65
LU0390710027;FF GLOBAL SHORT DURATION;FIDELITY FUNDS - GLOBAL SHORT DURATION INCOME A ACC USD ACC;FIDELITY INVEST.INT.,SUC.;RENTA FIJA INTERNACIONAL;USD;2;1.05;0.75;2500;3.83;-5.48;13.69;4.84;1.38;1.78;7.06;-8.33
LU1805238125;FIDELITY GLOBAL CONSUMER;FIDELITY GLOBAL CONSUMER BRANDS A ACC EUR;FIDELITY INVEST.INT.,SUC.;RENTA VARIABLE INTERNACIONAL;EUR;4;1.9;1.5;2500;-0.05;-2.58;19.45;20.32;-23.68;13.386;16.32;-14.19
LU0157217158;FF GLOBAL FOCUS FUND E AC;FIDELITY GLOBAL FOCUS FUND E ACC EUR;FIDELITY INVEST.INT.,SUC.;RENTA VARIABLE INTERNACIONAL;EUR;4;2.65;1.5;2500;0.09;8.56;18.79;16.33;-15.99;13.6456;13.15;-11.26
